iter	Passed	Remaining
0	3	3861
1	6	3385
2	9	3035
3	11	2899
4	14	2816
5	17	2836
6	19	2834
7	22	2814
8	25	2812
9	28	2811
10	31	2799
11	33	2773
12	36	2766
13	42	2984
14	46	3054
15	49	3037
16	52	3035
17	57	3116
18	60	3119
19	62	3082
20	66	3119
21	69	3096
22	72	3092
23	76	3096
24	81	3181
25	84	3152
26	87	3155
27	91	3162
28	94	3150
29	97	3159
30	113	3555
31	119	3599
32	121	3566
33	125	3565
34	131	3620
35	134	3589
36	137	3582
37	141	3573
38	145	3574
39	147	3548
40	151	3531
41	153	3490
42	155	3450
43	157	3411
44	158	3373
45	161	3342
46	162	3304
47	164	3268
48	166	3234
49	168	3201
50	170	3169
51	172	3141
52	174	3121
53	176	3096
54	178	3072
55	180	3050
56	182	3023
57	184	2996
58	186	2975
59	188	2950
60	190	2929
61	192	2906
62	193	2884
63	195	2863
64	197	2842
65	199	2827
66	201	2807
67	203	2789
68	205	2773
69	207	2756
70	209	2738
71	211	2726
72	213	2709
73	215	2692
74	217	2678
75	219	2662
76	220	2647
77	222	2631
78	224	2619
79	226	2604
80	228	2590
81	230	2579
82	232	2566
83	234	2553
84	236	2542
85	238	2530
86	241	2530
87	243	2519
88	244	2506
89	246	2493
90	248	2483
91	250	2473
92	252	2462
93	254	2450
94	256	2441
95	258	2430
96	259	2420
97	261	2411
98	263	2401
99	265	2391
100	267	2382
101	269	2372
102	271	2364
103	273	2354
104	275	2346
105	277	2337
106	279	2328
107	281	2321
108	282	2312
109	284	2302
110	286	2295
111	288	2286
112	291	2286
113	293	2280
114	295	2273
115	297	2265
116	299	2256
117	300	2248
118	302	2241
119	304	2233
120	306	2227
121	308	2220
122	310	2212
123	312	2206
124	314	2199
125	315	2191
126	317	2185
127	319	2178
128	321	2171
129	324	2173
130	326	2166
131	328	2159
132	330	2153
133	332	2148
134	334	2141
135	336	2135
136	338	2130
137	339	2119
138	341	2113
139	342	2106
140	345	2102
141	346	2095
142	348	2089
143	350	2084
144	352	2078
145	354	2072
146	356	2068
147	358	2062
148	360	2060
149	363	2062
150	365	2056
151	367	2050
152	369	2047
153	371	2042
154	373	2037
155	375	2032
156	378	2031
157	380	2026
158	382	2022
159	384	2017
160	386	2013
161	388	2009
162	390	2004
163	392	1999
164	394	1994
165	396	1989
166	397	1984
167	399	1980
168	401	1976
169	403	1971
170	405	1966
171	407	1963
172	409	1958
173	411	1953
174	413	1950
175	415	1947
176	417	1943
177	420	1940
178	422	1937
179	424	1934
180	426	1930
181	428	1926
182	431	1925
183	433	1922
184	435	1920
185	438	1918
186	440	1915
187	443	1913
188	445	1911
189	447	1909
190	450	1907
191	452	1905
192	455	1902
193	457	1899
194	459	1897
195	462	1895
196	464	1893
197	466	1891
198	469	1888
199	471	1884
200	473	1881
201	475	1878
202	477	1875
203	479	1872
204	482	1869
205	484	1866
206	486	1863
207	488	1860
208	490	1855
209	492	1853
210	494	1850
211	496	1846
212	498	1843
213	501	1840
214	503	1837
215	505	1834
216	507	1831
217	509	1829
218	512	1826
219	514	1823
220	516	1821
221	518	1818
222	521	1816
223	523	1814
224	526	1813
225	528	1809
226	530	1806
227	532	1803
228	535	1801
229	537	1798
230	540	1798
231	542	1794
232	544	1791
233	546	1788
234	548	1787
235	551	1784
236	553	1781
237	555	1777
238	557	1774
239	559	1772
240	561	1769
241	564	1767
242	567	1766
243	569	1763
244	571	1760
245	573	1757
246	575	1754
247	577	1750
248	579	1748
249	582	1746
250	584	1743
251	586	1740
252	588	1736
253	590	1733
254	592	1729
255	594	1726
256	596	1723
257	598	1720
258	600	1717
259	602	1714
260	604	1711
261	606	1707
262	608	1704
263	610	1702
264	612	1699
265	614	1695
266	616	1691
267	618	1689
268	620	1685
269	622	1683
270	624	1680
271	626	1677
272	628	1674
273	631	1672
274	633	1668
275	635	1666
276	637	1663
277	640	1662
278	642	1660
279	644	1656
280	646	1653
281	648	1651
282	650	1648
283	652	1645
284	654	1642
285	657	1640
286	658	1636
287	661	1634
288	663	1631
289	664	1627
290	667	1625
291	668	1621
292	671	1620
293	675	1621
294	677	1619
295	679	1616
296	681	1613
297	683	1610
298	685	1607
299	687	1605
300	689	1602
301	691	1598
302	693	1596
303	695	1593
304	697	1590
305	700	1587
306	702	1586
307	704	1583
308	706	1580
309	708	1577
310	711	1575
311	713	1572
312	715	1569
313	717	1567
314	719	1565
315	722	1562
316	724	1560
317	726	1557
318	728	1554
319	731	1553
320	733	1552
321	736	1550
322	738	1548
323	740	1545
324	743	1543
325	745	1540
326	747	1538
327	749	1536
328	752	1534
329	754	1532
330	756	1529
331	759	1527
332	761	1525
333	763	1522
334	765	1520
335	767	1517
336	769	1514
337	771	1511
338	775	1511
339	777	1509
340	779	1506
341	781	1504
342	783	1501
343	786	1499
344	788	1496
345	790	1494
346	792	1491
347	794	1488
348	796	1485
349	798	1482
350	800	1480
351	802	1477
352	805	1475
353	807	1472
354	809	1470
355	811	1467
356	813	1465
357	815	1462
358	817	1459
359	819	1457
360	821	1454
361	823	1451
362	825	1449
363	827	1446
364	830	1444
365	832	1441
366	834	1439
367	836	1437
368	838	1434
369	840	1431
370	843	1429
371	845	1427
372	847	1425
373	849	1422
374	852	1420
375	854	1418
376	857	1416
377	859	1414
378	861	1412
379	863	1409
380	866	1407
381	867	1404
382	870	1401
383	872	1399
384	874	1396
385	875	1393
386	877	1390
387	879	1387
388	881	1384
389	885	1384
390	887	1381
391	888	1378
392	891	1376
393	893	1373
394	895	1371
395	897	1369
396	899	1366
397	901	1363
398	903	1361
399	905	1358
400	907	1356
401	909	1353
402	911	1350
403	913	1348
404	916	1345
405	917	1343
406	920	1341
407	921	1337
408	923	1334
409	925	1331
410	927	1329
411	929	1326
412	931	1323
413	933	1321
414	936	1320
415	938	1317
416	940	1314
417	942	1312
418	944	1309
419	946	1306
420	948	1303
421	949	1301
422	951	1298
423	953	1295
424	955	1292
425	957	1290
426	959	1287
427	961	1284
428	963	1282
429	965	1279
430	967	1276
431	969	1274
432	970	1271
433	973	1269
434	975	1266
435	977	1263
436	978	1261
437	980	1258
438	982	1255
439	984	1253
440	986	1250
441	988	1247
442	989	1244
443	991	1242
444	993	1239
445	995	1236
446	998	1235
447	1000	1232
448	1002	1230
449	1004	1228
450	1006	1225
451	1008	1222
452	1010	1219
453	1012	1217
454	1014	1214
455	1015	1211
456	1016	1208
457	1019	1205
458	1020	1203
459	1022	1200
460	1024	1197
461	1026	1195
462	1028	1193
463	1030	1190
464	1032	1187
465	1034	1185
466	1036	1182
467	1038	1180
468	1040	1177
469	1041	1174
470	1044	1172
471	1046	1170
472	1047	1167
473	1050	1165
474	1052	1163
475	1055	1162
476	1057	1159
477	1059	1156
478	1061	1154
479	1063	1151
480	1065	1149
481	1067	1146
482	1069	1144
483	1071	1142
484	1073	1139
485	1076	1138
486	1078	1135
487	1079	1133
488	1082	1131
489	1084	1128
490	1086	1126
491	1088	1123
492	1090	1120
493	1091	1118
494	1093	1116
495	1096	1113
496	1098	1111
497	1099	1108
498	1101	1106
499	1103	1103
500	1105	1101
501	1108	1099
502	1109	1096
503	1111	1093
504	1113	1091
505	1115	1089
506	1117	1086
507	1119	1083
508	1120	1081
509	1122	1078
510	1124	1076
511	1126	1073
512	1128	1071
513	1130	1068
514	1132	1066
515	1134	1063
516	1136	1061
517	1137	1058
518	1139	1056
519	1141	1054
520	1143	1051
521	1146	1049
522	1148	1047
523	1149	1044
524	1151	1041
525	1154	1039
526	1155	1037
527	1157	1034
528	1159	1032
529	1161	1030
530	1163	1027
531	1165	1025
532	1167	1022
533	1169	1020
534	1170	1017
535	1172	1015
536	1174	1012
537	1176	1010
538	1178	1008
539	1180	1005
540	1182	1003
541	1184	1001
542	1186	998
543	1188	996
544	1190	993
545	1192	991
546	1194	989
547	1196	986
548	1199	985
549	1200	982
550	1202	980
551	1204	977
552	1206	975
553	1208	972
554	1210	970
555	1212	967
556	1213	965
557	1215	963
558	1217	960
559	1219	958
560	1221	956
561	1223	953
562	1225	951
563	1227	948
564	1230	947
565	1232	945
566	1235	943
567	1237	941
568	1239	938
569	1241	936
570	1243	934
571	1246	932
572	1248	930
573	1252	929
574	1254	927
575	1256	924
576	1258	922
577	1260	920
578	1263	918
579	1266	917
580	1268	914
581	1270	912
582	1273	910
583	1275	908
584	1277	906
585	1280	904
586	1282	902
587	1284	900
588	1287	898
589	1289	896
590	1291	893
591	1293	891
592	1295	889
593	1297	887
594	1300	884
595	1302	883
596	1305	880
597	1307	879
598	1309	876
599	1312	874
600	1314	872
601	1316	870
602	1318	867
603	1320	865
604	1322	863
605	1324	861
606	1326	858
607	1328	856
608	1330	854
609	1332	852
610	1334	849
611	1336	847
612	1338	845
613	1340	842
614	1342	840
615	1345	838
616	1347	836
617	1349	834
618	1352	832
619	1354	830
620	1356	827
621	1359	826
622	1361	823
623	1364	821
624	1366	819
625	1368	817
626	1371	815
627	1374	814
628	1376	812
629	1379	810
630	1381	807
631	1383	805
632	1385	803
633	1388	801
634	1390	799
635	1393	797
636	1395	795
637	1397	792
638	1399	790
639	1402	788
640	1405	787
641	1407	784
642	1409	782
643	1411	780
644	1414	778
645	1416	776
646	1418	773
647	1420	771
648	1422	769
649	1424	767
650	1427	765
651	1429	762
652	1431	760
653	1433	758
654	1435	756
655	1437	753
656	1440	751
657	1442	749
658	1444	747
659	1446	745
660	1450	743
661	1454	742
662	1456	740
663	1458	738
664	1460	735
665	1462	733
666	1464	731
667	1465	728
668	1467	726
669	1469	723
670	1471	721
671	1472	718
672	1474	716
673	1476	714
674	1478	711
675	1480	709
676	1481	707
677	1483	704
678	1485	702
679	1487	699
680	1489	697
681	1491	695
682	1493	693
683	1495	691
684	1497	688
685	1499	686
686	1503	684
687	1505	682
688	1506	680
689	1508	677
690	1510	675
691	1512	673
692	1514	671
693	1516	668
694	1518	666
695	1520	664
696	1522	661
697	1524	659
698	1526	657
699	1528	655
700	1530	652
701	1532	650
702	1534	648
703	1536	646
704	1538	643
705	1540	641
706	1542	639
707	1545	637
708	1547	635
709	1549	632
710	1551	630
711	1554	628
712	1556	626
713	1558	624
714	1560	621
715	1562	619
716	1564	617
717	1566	615
718	1567	612
719	1569	610
720	1571	608
721	1573	605
722	1575	603
723	1577	601
724	1578	598
725	1580	596
726	1581	594
727	1583	591
728	1585	589
729	1586	586
730	1588	584
731	1590	582
732	1592	580
733	1594	577
734	1596	575
735	1598	573
736	1599	570
737	1601	568
738	1604	566
739	1605	564
740	1607	561
741	1609	559
742	1611	557
743	1613	555
744	1615	552
745	1616	550
746	1618	548
747	1620	546
748	1622	543
749	1624	541
750	1627	539
751	1629	537
752	1631	535
753	1633	533
754	1635	530
755	1637	528
756	1640	526
757	1642	524
758	1645	522
759	1647	520
760	1649	518
761	1651	515
762	1653	513
763	1655	511
764	1657	509
765	1660	507
766	1662	505
767	1665	502
768	1667	500
769	1668	498
770	1670	496
771	1672	493
772	1674	491
773	1676	489
774	1678	487
775	1680	485
776	1682	482
777	1684	480
778	1686	478
779	1688	476
780	1689	473
781	1691	471
782	1693	469
783	1695	467
784	1697	465
785	1699	462
786	1701	460
787	1703	458
788	1705	456
789	1707	453
790	1710	451
791	1712	449
792	1713	447
793	1717	445
794	1718	443
795	1722	441
796	1724	439
797	1726	437
798	1728	434
799	1730	432
800	1732	430
801	1734	428
802	1736	425
803	1738	423
804	1739	421
805	1743	419
806	1745	417
807	1747	415
808	1749	413
809	1752	411
810	1754	408
811	1757	406
812	1759	404
813	1761	402
814	1762	400
815	1764	397
816	1765	395
817	1767	393
818	1769	391
819	1771	388
820	1773	386
821	1775	384
822	1777	382
823	1779	380
824	1781	377
825	1783	375
826	1785	373
827	1787	371
828	1789	369
829	1791	366
830	1793	364
831	1795	362
832	1797	360
833	1799	358
834	1802	356
835	1804	353
836	1806	351
837	1808	349
838	1810	347
839	1812	345
840	1815	343
841	1817	341
842	1819	338
843	1822	336
844	1824	334
845	1826	332
846	1828	330
847	1830	328
848	1832	325
849	1834	323
850	1836	321
851	1838	319
852	1840	317
853	1842	315
854	1844	312
855	1846	310
856	1849	308
857	1850	306
858	1853	304
859	1855	302
860	1857	299
861	1859	297
862	1861	295
863	1863	293
864	1868	291
865	1870	289
866	1872	287
867	1875	285
868	1877	282
869	1879	280
870	1881	278
871	1883	276
872	1884	274
873	1886	272
874	1888	269
875	1890	267
876	1892	265
877	1895	263
878	1897	261
879	1899	258
880	1901	256
881	1903	254
882	1905	252
883	1907	250
884	1909	248
885	1911	245
886	1913	243
887	1915	241
888	1917	239
889	1920	237
890	1922	235
891	1924	233
892	1926	230
893	1929	228
894	1931	226
895	1933	224
896	1935	222
897	1937	220
898	1938	217
899	1940	215
900	1942	213
901	1944	211
902	1946	209
903	1948	206
904	1950	204
905	1952	202
906	1954	200
907	1956	198
908	1958	196
909	1960	193
910	1965	192
911	1967	189
912	1970	187
913	1972	185
914	1974	183
915	1976	181
916	1978	179
917	1980	176
918	1982	174
919	1984	172
920	1987	170
921	1989	168
922	1991	166
923	1994	164
924	1997	161
925	1999	159
926	2001	157
927	2004	155
928	2006	153
929	2009	151
930	2011	149
931	2013	146
932	2016	144
933	2019	142
934	2021	140
935	2023	138
936	2025	136
937	2028	134
938	2030	131
939	2032	129
940	2034	127
941	2036	125
942	2039	123
943	2041	121
944	2043	118
945	2045	116
946	2047	114
947	2050	112
948	2052	110
949	2054	108
950	2057	106
951	2059	103
952	2062	101
953	2064	99
954	2067	97
955	2069	95
956	2072	93
957	2074	90
958	2077	88
959	2079	86
960	2081	84
961	2084	82
962	2086	80
963	2088	78
964	2091	75
965	2093	73
966	2095	71
967	2098	69
968	2100	67
969	2103	65
970	2105	62
971	2107	60
972	2110	58
973	2112	56
974	2115	54
975	2117	52
976	2119	49
977	2122	47
978	2124	45
979	2126	43
980	2129	41
981	2131	39
982	2134	36
983	2136	34
984	2139	32
985	2141	30
986	2143	28
987	2146	26
988	2148	23
989	2152	21
990	2154	19
991	2156	17
992	2159	15
993	2161	13
994	2163	10
995	2166	8
996	2168	6
997	2171	4
998	2174	2
999	2177	0
